"wcvp_plant_name_id","wcvp_taxon_rank","wcvp_taxon_status","wcvp_family","wcvp_taxon_name","wcvp_taxon_authors","wcvp_accepted_plant_name_id","wcvp_reviewed","wcvp_searchedName","wcvp_taxon_status_of_searchedName","wcvp_plant_name_id_of_searchedName","wcvp_taxon_authors_of_searchedName","wcvp_verified_author","wcvp_verified_speciesName","wcvp_searchNotes"
,,,,,,,,"Ryparosa hullettii",,,,0,0,"Not found"
,,,,,,,,"Ryparosa fasciculata",,,,0,0,"Not found"
,,,,,,,,"Ryparosa hirsuta",,,,0,0,"Not found"
,,,,,,,,"Ryparosa javanica",,,,0,0,"Not found"
,,,,,,,,"Ryparosa javanica",,,,0,0,"Not found"
,,,,,,,,"Ryparosa inconstans",,,,0,0,"Not found"
,,,,,,,,"Ryparosa kostermansii",,,,0,0,"Not found"
,,,,,,,,"Ryparosa inconstans",,,,0,0,"Not found"
,,,,,,,,"Ryparosa minor",,,,0,0,"Not found"
,,,,,,,,"Ryparosa wallichii",,,,0,0,"Not found"
,,,,,,,,"Ryparosa kunstleri",,,,0,0,"Not found"
,,,,,,,,"Ryparosa wallichii",,,,0,0,"Not found"
,,,,,,,,"Ryparosa scortechinii",,,,0,0,"Not found"
,,,,,,,,"Ryparosa glauca",,,,0,0,"Not found"
,,,,,,,,"Ryparosa fasciculata",,,,0,0,"Not found"
,,,,,,,,"Ryparosa hullettii",,,,0,0,"Not found"
,,,,,,,,"Ryparosa javanica",,,,0,0,"Not found"
,,,,,,,,"Oncoba mannii",,,,0,0,"Not found"
,,,,,,,,"Oncoba mannii",,,,0,0,"Not found"
,,,,,,,,"Dasylepis racemosa",,,,0,0,"Not found"
,,,,,,,,"Scottellia klaineana",,,,0,0,"Not found"
,,,,,,,,"Oncoba mannii",,,,0,0,"Not found"
,,,,,,,,"Oncoba mannii",,,,0,0,"Not found"
,,,,,,,,"Oncoba mannii",,,,0,0,"Not found"
