"Ctrl_nameRecordedBy_Standard","Ctrl_recordedBy","Ctrl_notes","collectorDictionary","Ctrl_update","collectorName","Ctrl_fullName","Ctrl_fullNameII","CVStarrVirtualHerbarium_PersonDetails"
"CORNEJO","CORNEJO, X.; BONIFAZ, C.",,"",,,,,
"CORNEJO","CORNEJO, X.;BONIFAZ, C.",,"",,,,,
"CORNEJO","XAVIER CORNEJO S.;CARMEN BONIFAZ B.",,"",,,,,
"CORONADO","I. CORONADO G.; R. M. RUEDA",,"",,,,,
"CORONADO","I. CORONADO G.;P. A. ALMANZA",,"",,,,,
"CORONADO","I. CORONADO G.;R. M. RUEDA",,"",,,,,
"CORREA","MAEVIA N. CORREA;NÉLIDA M. BACIGALUPO",,"",,,,,
"CRESCENCIO","P. ZAMORA CRESCENCIO; J.A. HERNÁNDEZ TRUJEQUE",,"",,,,,
"CRISTHIAN","CRISTHIAN AGUIRRE;JUAN GUEVARA;GICELA ARIAS",,"",,,,,
"CRISTOBAL","CRISTÓBAL, CL",,"",,,,,
"CRISTOBAL","CRISTÓBAL, CL;CRISTÓBAL, C.L.",,"",,,,,
"CTL","CTL; ELP; AECV",,"",,,,,
"CUATRECASAS","J. CUATRECASAS & V. M. PATIÑO",,"",,,,,
"D'ANGELO","C. D'ANGELO",,"",,,,,
"DAMASCENO","DAMASCENO JR, G.A.;VELASQUES, J.S.",,"",,,,,
"DAMASCENO","DAMASCENO JR, GA; VELASQUES, JS",,"",,,,,
"DAMASCENO","DAMASCENO JR., G.A.; LIMA, M.S.; ASSIS, E.M.; URQUIZA,M.V.",,"",,,,,
"DAMASCENO","DAMASCENO JR., G.A.; VELASQUES, J.S.",,"",,,,,
"DAMASCENO","DAMASCENO JUNIOR , G.A.;VELASQUES, J.S.,DAMASCENO-JÚNIOR, G. A.,VELASQUES, J. S.",,"",,,,,
"DAMASCENO","DAMASCENO JUNIOR, G.A.;G.A. DAMASCENO JUNIOR,VELASQUES, J.S.,J.S. VELASQUES",,"",,,,,
"DAMASCENO","DAMASCENO JUNIOR, GA; VELASQUES, JS",,"",,,,,
"DAMASCENO","DAMASCENO JÚNIOR,G.A.;DAMASCENO-JÚNIOR, G. A.,VELASQUES,J.S.,VELASQUES, J. S.",,"",,,,,
"DAMASCENO","G.A. DAMASCENO JUNIOR; J.S. VELASQUES",,"",,,,,
"DAMASCENO","G.A.DAMASCENO JUNIOR; J.S.VELASQUES",,"",,,,,
"DAMASCENO-JUNIOR","DAMASCENO-JUNIOR, G.A.; VELASQUES, J.S.",,"",,,,,
"DAMASCENO-JUNIOR","G.A. DAMASCENO-JUNIOR;D.T. AZEVEDO,P.R. SOUZA,F.J. KOCHANOVSKI,C.A. CAROLLO,E.M.L. ANJOS DOS SANTOS,V. GOES",,"",,,,,
"DANIEL","T. F. DANIEL; M. GALLAGHER, D. KEIL, M. MOHLENBROCK, T.M. BUTTERWICK",,"",,,,,
"DAVID","DAVID J. KEIL; ET AL.",,"",,,,,
"DAVID","DAVID J. KEIL;THOMAS F. DANIEL;MARK MOHLENBROCK;MARY L. BUTTERWICK;PEG GALLAGHER;D. WOOD",,"",,,,,
"DAVID","DAVID KEIL; TOM DANIEL; MARK MOHLENBROCK; MARY BUTTERWICK; PEG GALLAGHER; DENNIS WOOD",,"",,,,,
"DAVIDSE","DAVIDSE,G., MONRO,A., SIDWELL,K. & VILLACORTA,R.",,"",,,,,
"DAVIDSE","GERRIT DAVIDSE, ALEX MONRO, KAREN SIDWELL & RAUL VILLACORTA M.",,"",,,,,
"DAVIDSE","GERRIT DAVIDSE;ALEX K. MONRO;KAREN J. SIDWELL;RAUL VILLACORTA",,"",,,,,
"DAVIDSE","GERRIT DAVIDSE;MARIO SOUSA S.;JOSÉ LINARES",,"",,,,,
"DAVILA","DAVILA, A. R. M.;SOUZA, N. V. D.",,"",,,,,
"DAVILA","DAVILA, A.R.M.",,"",,,,,
"DEGEN","ROSA DEGEN;FÁTIMA MERELES",,"",,,,,
"DELGADILLO","R. DELGADILLO; A. RODRÍGUEZ C.",,"",,,,,
"DELGADO","ALFONSO DELGADO S.;R. HERNÁNDEZ;L. TREJO",,"",,,,,
"DERIEMER","K. DERIEMER",,"",,,,,
"DEVENDER","T. R. VAN DEVENDER; A. L. REINA G.",,"",,,,,
"DEVENDER","T. R. VAN DEVENDER; A. L. REINA G., D. A. YETMAN",,"",,,,,
"DEVENDER","T.R. VAN DEVENDER",,"",,,,,
"DEVENDER","T.R. VAN DEVENDER; A.L. REINA G.; G. ANDERSON",,"",,,,,
"DEVENDER","T.R. VAN DEVENDER; A.L. REINA G.; S.C. DOAN; G.M. FERGUSON; Z. LIU",,"",,,,,
"DEVENDER","T.R. VAN DEVENDER; A.L. REINA; D.A. YETMAN",,"",,,,,
"DEVENDER","T.R. VAN DEVENDER; ET AL.",,"",,,,,
"DEVIA","W. DEVIA;J. ADARVE",,"",,,,,
"DEXTER","K.G. DEXTER, J.L. MARCELO PENA, A. DAZA YOMONA, R.T. PENNINGTON",,"",,,,,
"DIAZ","C. DÍAZ S. & S. BALDEÓN M.",,"",,,,,
"DODSON","DODSON, CALAWAY",,"",,,,,
"DOMINGUE","HÉCTOR GÓMEZ DOMÍNGUE",,"",,,,,
"DOMINGUEZ","A. DOMÍNGUEZ M.; O. TÉLLEZ; JORGE CALÓNICO SOTO; J. MARTÍNEZ C.",,"",,,,,
"DOMINGUEZ","E. DOMÍNGUEZ LICONA",,"",,,,,
"DOMINGUEZ","E. DOMÍNGUEZ LICONA; J. M. DOMÍNGUEZ LICONA",,"",,,,,
"DOMINGUEZ","R. DOMÍNGUEZ C.",,"",,,,,
"DOMINGUEZ","RAYMUNDO DOMÍNGUEZ",,"",,,,,
"DONELL","DONELL",,"",,,,,
"DORANTES","DORANTES J; ET AL.",,"",,,,,
"DORANTES","JESÚS DORANTES L.;ET AL.",,"",,,,,
"DORR","L. J. DORR & S. M. NIÑO",,"",,,,,
"DRYANDER","F. DRYANDER",,"",,,,,
"DUQUE-JARAMILLO","DUQUE-JARAMILLO, J.M.",,"",,,,,
"DURAN","C. DURÁN E.; A. RINCÓN G.",,"",,,,,
"DURAN","C. DURÁN; A. RINCÓN",,"",,,,,
"DURAN-ESPINOSA","C.M. DURÁN-ESPINOSA; A. RINCÓN G.",,"",,,,,
"E M L","E.M.L.; M.N.M.G.; R.R.O.",,"",,,,,
"EGGERS","EGGERS HFA VON",,"",,,,,
"EGGERS","EGGERS, H.",,"",,,,,
"EGGERS","EGGERS,H.",,"",,,,,
"EGGERS","H.F.A. EGGERS",,"",,,,,
"ELIZABETH","ELIZABETH TORRES B.; H. MORALES I.",,"",,,,,
"ELIZABETH","ELIZABETH TORRES B.;H. MORALES I.",,"",,,,,
"ELLSWORTH","ELLSWORTH P. KILLIP;ARMANDO DUGAND GNECO;R. JARAMILLO",,"",,,,,
"ELORSA","ELORSA C, M",,"",,,,,
"ELORSA","ELORSA C, M;ELORSA C, M.",,"",,,,,
"ELORSA","M. ELORSA",,"",,,,,
"ELORSA","M. ELORSA C.; D. SCHEIDEGGER",,"",,,,,
"EMILY","EMILY J. LOTT",,"",,,,,
"EMRICH","EMRICH, K. & RAMBO, B.",,"",,,,,
"ENCARNACION","ROSALBA ENCARNACIÓN DIMAYUGA",,"",,,,,
"ENRIQUE","ENRIQUE FORERO;ROBERTO JARAMILLO M.;LUZ MILA QUIÑONES;LUIS A. VIDAL",,"",,,,,
"ENRIQUE","ENRIQUE MÉNDEZ",,"",,,,,
"ESTEVAN","ESTEVAN, DA;ESTEVAN, D.A.",,"",,,,,
"EYERDAM","WALTER J. EYERDAM;ALAN A. BEETLE",,"",,,,,
"FABIANA","FABIANA MAMANI M.;A. MAMANI",,"",,,,,
"FABIANA","FABIANA MAMANI M.;ANTONY JARDIM",,"",,,,,
"FABIANA","FABIANA MAMANI M.;P. SARAVIA;R.A. MEDINA;S. CABRERA;M. SAUCEDO",,"",,,,,
"FAJARDO","NANCY SANTAFÉ FAJARDO",,"",,,,,
"FALCAO","J.FALCÃO",,"",,,,,
"FARNEY","C. FARNEY; T.S.PEREIRA,S.V.A.PESSOA",,"",,,,,
"FELGER","FELGER, R.S.",,"",,,,,
